"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"1",0.571281,2.88224,1.43178,0.793664,0.962929,6.38465,0.445352,-0.502571,7.4249,0.570166,1.02124,0.153139
"2",0.487485,2.70411,1.80735,0.760744,0.933869,6.17134,0.542138,-0.667492,6.12143,0.54476,1.21237,0.167483
"3",0.594512,2.93232,1.29003,0.78218,0.96798,5.99692,0.580116,-0.82079,6.57762,0.543312,1.26267,0.157091
"4",0.586764,2.87923,1.43405,0.786636,0.950955,6.29399,0.550639,-1.37077,6.46497,0.568229,1.05976,0.170254
"5",0.658214,2.58623,1.2237,0.797624,0.994996,6.19362,0.610418,-0.911735,6.50248,0.563378,0.883568,0.164652
"6",0.695181,2.75758,1.1575,0.808435,0.99346,6.47491,0.470854,-0.35359,6.78574,0.557797,1.10771,0.160382
"7",0.690557,2.80285,1.4662,0.787639,0.975295,5.99702,0.629438,-0.656665,6.73901,0.582299,0.872885,0.171047
"8",0.62271,2.61786,1.59669,0.794118,0.986801,6.18927,0.557525,-0.6334,6.49396,0.566837,0.974948,0.172898
"9",0.80274,2.79469,1.21962,0.766882,0.946728,6.03947,0.380971,-0.741421,7.2707,0.555451,1.13864,0.152614
"10",0.637154,2.43659,1.38114,0.793187,0.957221,6.12538,0.588852,-0.174547,7.0995,0.543816,1.29326,0.177104
"11",0.660953,2.54577,1.48833,0.779502,0.969151,5.93239,0.500568,-0.725825,6.41176,0.557142,1.1001,0.135673
"12",0.613837,2.69917,1.25512,0.806434,0.982643,5.96425,0.510673,-0.593271,6.47325,0.564393,1.00036,0.164008
"13",0.795975,3.02493,1.07881,0.802052,0.993185,6.13439,0.504169,-0.945502,6.78224,0.558943,1.04263,0.151549
"14",0.804449,2.85505,1.62527,0.760747,0.937156,5.88174,0.399423,-0.446541,7.27854,0.552556,1.19814,0.169655
"15",0.740748,2.83581,1.61602,0.775974,0.970539,5.96013,0.511376,-0.549472,7.19296,0.561543,0.979972,0.153964
"16",0.778681,2.96772,1.40604,0.767865,0.94792,6.0881,0.449812,-0.413688,6.74262,0.559035,1.09084,0.15527
"17",1.03018,3.45311,0.89084,0.813553,0.989329,6.3457,0.546524,-1.01574,6.78517,0.557656,1.17188,0.167007
"18",0.786456,3.17286,1.27729,0.797071,0.96033,6.16888,0.502248,-1.06319,6.3821,0.558363,1.20233,0.150766
"19",0.683407,3.14766,1.50339,0.75339,0.963399,6.06279,0.447117,-0.544475,6.84952,0.561059,0.911468,0.163415
"20",0.612233,2.84698,1.52683,0.817915,0.972146,6.23056,0.398759,-0.29802,7.52593,0.551092,1.07678,0.166874
"21",0.478821,2.67394,1.98401,0.791344,0.982196,6.10411,0.37472,-0.734363,7.08815,0.537558,1.19816,0.154423
"22",0.235328,1.84286,2.00782,0.811186,0.998685,6.36584,0.579146,-0.739806,6.34479,0.585884,0.906346,0.165369
"23",0.353558,2.42048,2.14176,0.744896,0.918738,6.19168,0.70956,-0.0504519,6.95176,0.543583,1.21208,0.156943
"24",0.482128,2.90372,2.02518,0.798027,0.981828,6.007,0.463747,-2.18002,6.43101,0.572163,1.0442,0.1654
"25",0.742245,3.37444,1.19624,0.788056,0.917377,5.80322,0.422603,-0.941329,7.3048,0.555927,1.18002,0.168636
"26",1.00451,3.94912,0.97232,0.792415,0.973291,6.00179,0.563825,-2.65669,6.00538,0.568688,0.888493,0.154126
"27",1.01699,3.6081,1.08707,0.786459,0.964117,6.26789,0.580932,-1.21395,6.55648,0.577545,1.0356,0.17406
"28",0.822114,3.31208,2.11471,0.782406,0.983936,6.08689,0.466923,-0.96484,6.21657,0.553584,1.02615,0.151065
"29",0.856129,3.46523,1.03753,0.757965,0.930525,5.8309,0.487571,-1.80046,6.83925,0.590972,0.689001,0.154388
"30",0.676043,2.80921,1.3629,0.797074,0.977373,6.26574,0.527277,-0.687045,6.05778,0.546368,1.14331,0.159792
"31",0.656248,2.70565,1.37126,0.818673,0.981503,5.95173,0.663324,-0.360204,6.53592,0.561144,1.16668,0.16595
"32",0.67228,2.77121,1.24449,0.806774,0.977909,5.86811,0.4224,-0.331377,7.67938,0.548062,1.1036,0.16155
"33",0.716084,2.35056,1.32941,0.791924,0.964229,6.03427,0.689225,-0.971123,6.53795,0.559784,1.13935,0.159313
"34",0.64541,2.22977,1.60954,0.834375,0.995481,6.48856,0.471341,-0.615548,7.3741,0.552143,1.23965,0.152722
"35",0.847579,2.51251,1.48078,0.771462,0.989227,6.0779,0.651513,-0.648929,6.89193,0.579871,0.794394,0.176719
"36",0.812474,2.65413,1.09451,0.807226,0.984206,6.33326,0.497723,-0.368577,7.52542,0.550904,1.2726,0.16365
"37",0.591433,2.60939,1.68157,0.717396,0.870048,5.73095,0.473361,-1.26658,6.34564,0.563417,1.0206,0.16906
"38",0.788438,3.1108,1.64752,0.680025,0.862227,5.52271,0.63391,-0.510663,6.5746,0.585699,0.81554,0.157146
"39",0.677358,3.07473,0.87735,0.822977,0.984615,6.51753,0.603791,-1.08711,6.50046,0.537443,1.34552,0.149995
"40",0.538229,2.67753,1.28546,0.786866,0.962592,6.01411,0.564654,-0.785111,6.95996,0.559114,1.03238,0.165418
"41",0.840915,3.69847,1.16342,0.798184,0.978955,6.26998,0.564461,-0.921449,6.21741,0.554553,1.11793,0.160902
"42",0.995626,3.86962,1.10789,0.793191,0.987632,6.25041,0.49156,-2.35758,6.4995,0.550029,1.11534,0.167052
"43",1.02175,3.91018,1.01853,0.745555,0.921318,5.77659,0.497325,-0.811519,6.19231,0.556992,1.07635,0.166813
"44",1.01712,3.81903,1.0375,0.746923,0.924095,5.76669,0.498951,-0.815896,6.13548,0.55608,1.08548,0.167189
"45",0.870848,3.40813,1.07439,0.817459,0.988221,6.36795,0.582486,-1.02905,6.52844,0.546021,1.10403,0.150097
"46",0.955369,3.22417,0.951175,0.794879,0.985897,6.36748,0.534717,-0.463328,6.77165,0.541675,1.34231,0.158233
"47",0.916284,3.18168,1.11252,0.826418,0.972499,6.33321,0.578902,-1.07229,6.56286,0.546064,1.23208,0.157936
"48",0.797219,3.38986,1.48392,0.737534,0.919796,5.92136,0.50832,-0.979804,6.52324,0.589195,0.484371,0.165342
"49",0.865479,3.53755,1.43002,0.749367,0.960715,5.87191,0.435816,-1.24118,6.50102,0.598639,0.65664,0.166513
"50",0.831568,3.5415,1.40458,0.753863,0.964863,5.81747,0.43728,-1.33385,6.38637,0.603813,0.719225,0.159533
"51",0.83819,3.43051,1.29586,0.738963,0.897075,5.7334,0.611989,-1.28951,6.21643,0.579851,0.917699,0.165291
"52",0.834535,3.30198,1.22552,0.730522,0.92886,5.85615,0.736316,-1.74252,5.73025,0.576041,0.797908,0.16472
"53",0.842552,3.15956,1.22469,0.780585,0.973767,5.99995,0.366997,-0.461602,7.80589,0.534952,1.3929,0.15368
"54",0.885598,3.27791,1.01556,0.825251,0.982658,6.32167,0.65063,-1.50425,6.30327,0.564702,0.978074,0.165469
"55",1.01919,3.47715,0.975678,0.707253,0.873263,5.84983,0.376017,-0.613283,7.16258,0.537025,1.33398,0.158269
"56",0.933706,3.51982,1.10045,0.85012,0.992013,6.32925,0.644664,-0.914498,6.45314,0.547146,1.16811,0.158533
"57",0.995498,3.66557,1.05141,0.801104,0.989737,6.32815,0.452269,-1.58459,6.20579,0.534612,1.27551,0.151675
"58",0.82284,2.78891,1.10481,0.755382,0.920519,5.83422,0.301571,-0.639749,7.47614,0.575075,0.836168,0.156888
"59",0.71385,2.31606,1.48452,0.752841,0.894015,5.84259,0.496655,-0.4228,6.95512,0.519431,1.61686,0.150515
"60",0.71513,2.1676,1.58774,0.759039,0.918554,5.78896,0.570086,-0.68453,7.29882,0.57493,0.937431,0.161262
"61",0.56724,2.09592,1.63637,0.794166,0.949905,6.13785,0.67281,-0.333672,7.48978,0.542117,1.30871,0.162445
"62",0.534907,1.77327,1.70239,0.797863,0.979598,6.05887,0.711621,-0.0207441,6.6865,0.56564,1.07242,0.158444
"63",0.553048,1.99322,2.21422,0.78143,0.951903,6.12069,0.536462,-0.61647,6.91372,0.557685,1.04718,0.157543
"64",0.732774,2.17926,1.62209,0.791472,0.961225,6.11645,0.62771,-0.649356,6.97986,0.566196,1.02623,0.174211
"65",0.787361,2.33515,1.47532,0.803841,0.979768,6.18847,0.327199,-0.549921,7.39724,0.568947,0.975388,0.150636
"66",0.807058,2.43356,1.32739,0.764836,0.92481,5.94203,0.471511,-0.317202,7.00099,0.542006,1.1458,0.169973
"67",1.10071,3.10155,0.654668,0.801976,0.981084,6.1628,0.373249,-1.29678,6.88339,0.561959,1.06687,0.150006
"68",0.924118,2.52583,0.946288,0.782352,0.951949,6.15969,0.470638,-0.205421,8.25692,0.539887,1.31009,0.148577
"69",0.867152,2.66358,0.974974,0.787622,0.987289,6.19308,0.744884,-0.217426,7.16218,0.56321,0.940215,0.174343
"70",0.787663,2.78711,0.932205,0.790108,0.988066,6.13424,0.457457,-0.734376,6.85937,0.585071,0.824581,0.16535
"71",0.910565,3.38042,0.975447,0.769925,0.945944,6.00769,0.674325,-0.848924,6.4094,0.568014,0.964268,0.160948
"72",0.970142,3.61623,1.10195,0.795244,0.96954,6.35088,0.581384,-1.655,6.06654,0.551287,1.05769,0.169865
"73",1.00484,3.47868,0.86721,0.758546,0.945257,5.77604,0.489521,-0.51162,6.81246,0.551295,1.01867,0.145195
"74",0.46968,1.671,1.72248,0.81161,0.987122,6.20072,0.570791,-0.333057,7.09773,0.538302,1.2541,0.157078
"75",0.74375,2.18449,1.33275,0.783411,0.956703,5.97989,0.337899,-0.522198,7.3058,0.553995,1.12746,0.152625
"76",0.811984,2.45327,1.19396,0.801195,0.973669,6.44638,0.343488,-0.443678,7.72813,0.526666,1.37499,0.163768
"77",0.827015,2.92996,1.31342,0.767494,0.932644,6.11456,0.591384,-1.0243,6.23939,0.578357,0.89308,0.153291
"78",0.481516,2.31352,1.95272,0.746275,0.95063,6.06421,0.296791,-0.321577,7.90639,0.55579,0.961259,0.172157
"79",0.579868,2.56076,1.48632,0.783621,0.966151,6.04628,0.393959,-0.653189,7.21408,0.539978,1.22625,0.148774
"80",0.743228,2.46064,1.63736,0.79795,0.968464,6.0732,0.565574,-0.473148,6.75831,0.570616,0.967464,0.173312
"81",0.784104,2.61297,1.18985,0.804412,0.974936,6.28163,0.394749,-0.641631,7.27125,0.544468,1.25245,0.151449
"82",0.522943,2.26717,1.62855,0.786254,0.952517,5.97577,0.567037,-0.285361,6.77216,0.557978,0.914945,0.170128
"83",0.489347,2.56374,1.78147,0.767456,0.946384,6.19573,0.480744,-0.553271,6.68777,0.565885,1.03093,0.154792
"84",0.888564,4.29752,0.690267,0.803548,0.976203,6.05022,0.534033,-0.999204,7.14984,0.546626,1.15262,0.133685
"85",0.984874,4.54772,0.390507,0.821358,0.991203,6.31632,0.512608,-2.63819,6.45932,0.552248,1.18748,0.148235
"86",0.82858,3.60461,1.21532,0.744982,0.934971,6.01967,0.564318,-0.74869,6.55246,0.560544,1.12924,0.16751
"87",0.829829,3.74793,1.37345,0.824632,0.989019,6.51122,0.486211,-1.5786,6.18309,0.533608,1.27413,0.156708
"88",0.879108,3.86948,1.60165,0.819847,0.984981,6.1273,0.608474,-1.10337,6.52302,0.542571,1.27764,0.15931
"89",0.960961,4.01543,1.56383,0.828361,0.979424,6.4933,0.536569,-1.61912,6.34278,0.552219,1.18942,0.158439
"90",0.873322,4.22038,1.49445,0.783191,0.955351,5.82354,0.661831,-0.85563,6.79031,0.564166,1.04541,0.160064
"91",0.976712,4.18607,1.28411,0.727439,0.888883,5.8715,0.65837,-2.46517,6.11819,0.557072,0.96083,0.163649
"92",0.746977,3.91893,1.94582,0.752167,0.923833,5.79099,0.467075,-0.948959,7.26836,0.581931,0.803345,0.163855
"93",0.766623,3.74304,1.72571,0.709793,0.878355,5.76242,0.590768,-2.73526,6.1245,0.544043,1.33107,0.1637
"94",0.715282,3.69681,1.55672,0.762114,0.953528,5.85141,0.484333,-1.36973,6.5676,0.551893,1.12636,0.166137
"95",0.605204,3.27515,1.41222,0.790816,0.974443,6.12663,0.587896,-1.36992,6.33087,0.559155,1.17374,0.158928
"96",0.571283,3.35384,1.43233,0.783715,0.950861,6.02914,0.378697,-1.28935,6.49078,0.549422,1.02861,0.167088
"97",0.605833,3.3989,1.33797,0.794795,0.978872,6.09919,0.420021,-1.09562,6.52533,0.548728,1.04769,0.160558
"98",0.730524,3.1724,1.38603,0.779882,0.981725,6.15271,0.438828,-0.617977,7.67344,0.548999,1.24905,0.155954
"99",0.719076,3.22386,1.40725,0.818873,0.9694,6.357,0.411942,-0.746928,6.52305,0.563493,1.10818,0.164631
"100",0.602088,3.12513,1.52498,0.773004,0.958491,6.30771,0.438717,-1.3953,6.20516,0.536758,1.39027,0.170692
"101",0.529625,2.66968,1.04008,0.757867,0.952213,5.82785,0.412366,-0.470892,7.2826,0.571835,0.946221,0.169436
"102",0.685831,2.4407,1.38548,0.775989,0.959302,6.34149,0.761334,-0.540807,6.56353,0.545762,1.17624,0.151036
"103",0.709929,3.074,1.57468,0.792878,0.978946,6.16823,0.399582,-0.322566,7.80265,0.579734,0.946423,0.169173
"104",0.714769,3.15362,1.65196,0.795493,0.979376,6.139,0.501602,-1.13676,6.43701,0.568486,0.835844,0.164193
"105",0.787837,3.58497,1.54681,0.803309,0.961114,6.16827,0.552379,-1.21804,6.22422,0.547512,1.10778,0.167371
"106",0.77088,3.40155,1.48797,0.821945,0.995263,6.48391,0.53235,-1.47434,6.45359,0.564954,1.10987,0.15464
"107",0.937184,3.76849,1.41814,0.827377,0.983108,6.18259,0.326938,-0.433072,7.15001,0.541518,1.23375,0.169095
"108",0.897343,3.68421,1.15635,0.785323,0.939022,6.24788,0.439044,-0.85201,6.91851,0.538432,1.33385,0.159211
"109",0.964438,3.74569,0.886416,0.787217,0.978326,6.23674,0.52552,-1.52175,6.47489,0.569647,0.976815,0.154158
"110",0.925269,3.59662,0.95863,0.778696,0.967515,6.12261,0.446981,-1.57476,6.17042,0.558687,1.04729,0.156499
"111",0.924419,3.55633,1.22552,0.787323,0.947255,6.15963,0.46028,-1.37442,6.53537,0.549533,1.23769,0.165979
"112",0.753481,3.07112,1.55691,0.782028,0.970486,6.28599,0.410878,-0.500342,6.94577,0.573726,0.810497,0.157742
"113",0.718844,3.04352,1.68504,0.765918,0.968403,6.16675,0.441092,-0.645015,7.1068,0.585708,0.781891,0.162374
"114",0.730311,3.2739,1.5522,0.760573,0.947211,6.16339,0.532716,-1.90963,6.174,0.557646,1.06868,0.166457
"115",0.708195,3.07453,1.57076,0.790538,0.976493,6.0719,0.575611,-0.973097,6.38796,0.576854,0.873273,0.167188
"116",0.772174,3.02635,1.36143,0.760272,0.924062,5.9767,0.55509,-0.91608,6.60837,0.535627,1.42105,0.151844
"117",0.79288,2.92055,1.52373,0.791328,0.957614,6.21926,0.572644,-1.02619,6.17515,0.536251,1.17251,0.139763
"118",0.706963,3.00712,1.4193,0.814712,0.976992,6.48813,0.426717,-0.411162,7.43512,0.549071,1.38176,0.167266
"119",0.755312,2.85968,1.33026,0.664047,0.857758,5.48652,0.514733,-0.967951,6.19055,0.570422,0.873226,0.15152
"120",0.904583,3.33852,1.12573,0.798204,0.95999,6.26366,0.484666,-0.678052,6.98937,0.571966,1.07906,0.161943
"121",0.433628,2.38396,2.04796,0.72521,0.921988,5.79416,0.503362,-0.474533,6.89916,0.568298,0.806585,0.169896
"122",0.678472,2.97097,1.3507,0.801576,0.978791,6.27428,0.604402,-1.17967,6.13038,0.544714,1.11557,0.151865
"123",0.754589,2.79998,1.0445,0.821549,0.984886,6.37613,0.671394,-0.756007,6.47531,0.553592,1.1745,0.153517
"124",0.516362,2.92859,1.55464,0.801052,0.976328,6.21402,0.444395,-0.656695,7.09171,0.556405,1.26561,0.159861
"125",0.328159,2.67681,2.1997,0.798108,0.97026,6.1833,0.427022,-0.757948,7.15146,0.557676,0.969391,0.160675
"126",0.487725,2.81414,2.00966,0.773497,0.96914,6.03722,0.54262,-0.577972,6.74728,0.543244,1.34747,0.150923
"127",0.445493,2.84469,1.86883,0.762828,0.972887,6.09187,0.56513,-0.708768,6.4604,0.567955,0.894633,0.160418
"128",0.737959,2.88091,1.47736,0.764866,0.927441,6.03745,0.627427,-0.731571,6.54828,0.551751,1.30387,0.168039
"129",0.756341,3.01724,1.34729,0.758571,0.960965,5.88934,0.503485,-1.1934,6.34959,0.548776,1.22499,0.151939
"130",0.68376,2.93623,1.29507,0.831763,0.987583,6.29242,0.584179,-0.576653,6.42316,0.557281,1.23117,0.167743
"131",0.538621,2.88278,1.11929,0.805357,0.983336,6.33522,0.57352,-0.902842,6.22428,0.549763,1.18483,0.153057
"132",0.596782,2.69991,1.63671,0.768132,0.935004,5.96402,0.472158,-0.428062,7.2002,0.569188,1.18117,0.170107
"133",0.717407,2.55871,1.31854,0.767301,0.938461,5.88021,0.573824,-0.624476,6.41366,0.58509,0.845578,0.1657
"134",0.648721,2.45219,1.6635,0.710907,0.881625,5.80777,0.706812,-0.417233,6.75699,0.569183,0.917863,0.170443
"135",0.783156,2.48169,1.44233,0.795638,0.980688,6.33069,0.60695,-0.0594549,7.32723,0.556913,1.20114,0.157804
"136",0.669629,2.05217,1.23263,0.800452,0.978202,6.17077,0.551475,-1.15352,6.77602,0.558357,1.02424,0.165895
"137",0.695759,1.99303,1.19083,0.803033,0.979941,6.29706,0.509921,-1.14998,6.58806,0.552738,1.0809,0.163422
"138",0.712111,1.96669,0.887596,0.732699,0.930078,5.86571,0.700018,-0.19084,7.46041,0.568603,0.98475,0.159744
"139",0.603127,1.88437,1.28731,0.809808,0.976033,6.12802,0.443453,-0.951949,6.8853,0.544833,1.2478,0.158826
"140",0.625325,1.80153,1.35314,0.775092,0.964862,6.06021,0.700945,-0.185975,7.22693,0.549077,1.09574,0.165469
"141",0.645821,2.3984,1.21229,0.764082,0.955731,5.98931,0.699556,-0.0909704,6.36482,0.550048,1.10997,0.15843
"142",0.587842,1.93507,1.40225,0.753802,0.932297,5.65252,0.703515,-0.287725,6.10385,0.564414,1.15502,0.150834
"143",0.745156,2.63478,1.0146,0.784673,0.991654,6.23297,0.521675,-0.0549361,7.2558,0.567925,1.0373,0.167346
"144",0.833533,3.13358,0.828357,0.777343,0.961849,5.98822,0.722196,-0.701316,6.81682,0.569711,0.950596,0.156319
"145",0.761379,2.8819,0.83674,0.75241,0.949214,5.93338,0.466198,-1.35365,6.16818,0.554603,1.03525,0.160951
"146",0.547729,2.2482,1.87918,0.805175,0.987558,6.3216,0.599891,-0.0995069,7.31698,0.559885,1.02947,0.163333
"147",0.768831,3.04176,1.33755,0.756506,0.947446,6.04016,0.331665,-0.883651,7.22256,0.551517,1.02782,0.165096
"148",0.562766,2.69108,2.12619,0.765232,0.945539,5.77454,0.587902,-0.457099,6.75009,0.572967,0.801964,0.161971
"149",0.781866,3.12914,1.54237,0.706508,0.889973,5.76818,0.538256,-1.04314,6.20478,0.559839,0.926993,0.162365
"150",0.7365,3.43862,1.44615,0.757073,0.926044,5.89358,0.488627,-0.507908,7.19194,0.580663,0.997162,0.148239
"151",1.03845,3.85186,1.13945,0.734118,0.937321,6.04074,0.533614,-1.14978,6.88463,0.55118,1.20648,0.141066
"152",0.902389,3.52376,1.3753,0.749097,0.913524,5.67164,0.556297,-1.85568,6.61888,0.570325,0.956958,0.178638
"153",0.980194,3.81449,0.964833,0.694912,0.870273,5.71912,0.652518,-0.962938,6.26807,0.561155,1.14383,0.14259
"154",1.03324,3.90346,0.826294,0.774524,0.938705,5.94606,0.40138,-0.898412,6.806,0.542743,1.10541,0.15223
"155",1.20423,3.86025,0.731701,0.777192,0.964825,6.25203,0.615506,-0.899652,6.34629,0.575731,0.823672,0.164244
"156",1.14682,3.33995,0.714828,0.813972,0.971841,6.17151,0.665583,-1.3582,6.58878,0.538236,1.33416,0.153862
"157",0.82659,2.90152,1.17715,0.766156,0.952245,6.0023,0.464582,-0.538552,6.70359,0.547479,1.12167,0.149625
"158",0.927057,3.03587,1.07328,0.772923,0.927813,5.99021,0.486381,-0.864404,7.18728,0.547094,1.18885,0.162273
"159",0.779365,3.37006,1.34991,0.770533,0.94232,6.03091,0.491717,-1.88462,6.25993,0.565377,0.985052,0.165272
"160",0.580131,2.40174,1.8808,0.79815,0.964932,6.24936,0.412325,-0.549715,6.74984,0.568682,1.01633,0.161647
"161",0.682059,2.68037,1.81502,0.768004,0.966214,5.98018,0.586994,-0.136341,6.89135,0.55168,1.02624,0.159796
"162",0.594034,2.51609,1.43069,0.799199,0.970219,6.14506,0.45774,-0.152774,7.9253,0.5419,1.1975,0.157988
"163",0.578704,2.27063,1.55517,0.791453,0.965655,6.12136,0.414078,-1.36372,7.17166,0.548046,1.09401,0.149303
"164",0.598294,2.97462,1.7085,0.763218,0.948543,6.04252,0.736955,-0.0840055,7.45746,0.559649,0.96617,0.171635
"165",0.797824,3.00616,1.15941,0.806449,0.977353,6.38634,0.507408,-1.36479,6.08801,0.554009,1.12332,0.153232
"166",0.738886,2.85868,1.27436,0.810557,0.987303,6.36401,0.554273,-0.640407,6.89622,0.549848,1.03015,0.168987
